No,Code,Loc,ID,Desc,EC,TA,TW,Q,Coordx,Coordy,Coordz,SiO2,SiO4,Al,Fe,Ca,Mg,Na,K ,Li,NH3,Cl,SO4,HCO3,H2S,B,Al3+,As3+,NH4+,CO3-,F,Br,NO3,PO42-,H2S,pH,GT1,GT2,GT3,GT4,GT5,GT6,GT7,GT8,GT9,GT10,GT11,GT12,GT13,GT14,GT15,GT16,GT17,GT18,GT19,GT20,GT21,GT22,GT23,GT24,GT25,GT26,18O,D,RE,Kelompok Data
66,715,Woko Bobo-1,,,,,,0,,,,,,,,,,,21.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
67,716,Woko-Bobo-2,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
68,717,Bena (Wae Pana),,,1540,,36.2,,,,,,,,,107,65.8,66.9,8.08,0.02,,43.7,574,154,,,,,0.18,,0,0.1,3.93,,,6.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
69,718,Soka (Wae Pana),,,850,,45.7,0.06,,,,,,,,,,,,,,10,407,11,,,,,,,0.92,,,,4.7,5.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
70,719,Mengeruda,,,1740,,41.1,0,,,,,,,,100,32.9,50.6,16.5,0.03,,104,678,0,,,,,,,0.46,0,0.02,,,2.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
71,720,Mengeruda,,,1780,,41.6,0.4,,,,,,,,103,34.2,52.8,16.7,,,108,711,0,,,,,0.21,,0.42,0.13,0.1,,,2.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
72,721,Mengeruda,,,1695,,40.9,0.4,,,,,,,,93.2,31.3,47.9,15.6,,,98.6,647,0,,,,,,,0.42,0.13,0.02,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
73,722,Wae Bana,,,1790,,37.2,0.0833333333,,,,,,,,106,33.6,43.7,15,,,96.4,679,0,,,,,0.23,,0.54,0.16,0.04,,,2.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
74,723,Piga,,,1820,,39.1,,,,,,,,,103,32.5,41.7,14.6,,,96.5,678,0,,,,,,,0.55,0.11,0.03,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
75,724,Gou (Wae Mega),,,1100,,35.2,,,,,,,,,118,25.7,30.4,6.93,,,30.5,550,0,,,,,0.19,,0.65,0.05,0.04,,6.1,3.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
76,725,Gou (Wae Bana Watuhwuti),,,2900,,40.5,,,,,,,,,139,38.5,48.7,13.2,,,135,985,0,,,,,0.42,,3.97,0.21,0.05,,12.4,2.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedi K,
